gsa_par_id,gsa_hol_id,ua_grp_id,ranking,covered
2519130_5668_00153,1228124,00N9,1,1
2519130_5668_00153,1228124,EPEZH,1,1
01930_4671_00080,36122828,7V1D1,2,1
01930_4671_00080,36122828,EPEZH,2,1
171190_4470_00646,322404,EPEZH,3,1
6390_5468_00315,3683236240,00N9,4,1
6390_5468_00315,3683236240,7V1D1,4,1
6390_5468_00315,3683236240,EPEZH,4,1
251170_6070_00202,41641616,7V1D1,5,1
251170_6070_00202,41641616,EPEZH,5,1
72510_4869_00026,160824,RTS5,6,1
72510_4869_00026,160824,8AEAE,6,1
72510_4869_00026,160824,7V1D1,6,1
72510_4869_00026,160824,EPEZH,6,1
72510_4870_00431,3624824420,7V1D1,7,1
72510_4870_00431,3624824420,EPEZH,7,1
181510_4675_00282,36203632280,8AEAE,8,1
181510_4675_00282,36203632280,7V1D1,8,1
181510_4675_00282,36203632280,EPEZH,8,1
122110_6070_00013,41228828,FTV4XP,9,1
122110_6070_00013,41228828,7V1D1,9,1
122110_6070_00013,41228828,EPEZH,9,1
186220_4667_00433,362408160,7V1D1,10,1
186220_4667_00433,362408160,EPEZH,10,1
1822160_5274_00017,32282012,FTV4XP,11,1
1822160_5274_00017,32282012,7V1D1,11,1
1822160_5274_00017,32282012,EPEZH,11,1
2519130_5668_00217,1228128,7V1D1,12,1
2519130_5668_00217,1228128,EPEZH,12,1
186220_4667_00414,363604,00N9,13,1
186220_4667_00414,363604,7V1D1,13,1
186220_4667_00414,363604,EPEZH,13,1
186220_4668_00976,480036,06IYG8X,14,1
186220_4668_00976,480036,EPEZH,14,1
2517160_5266_00179,362420282016,5HZH1TH,15,1
2517160_5266_00179,362420282016,7V1D1,15,1
2517160_5266_00179,362420282016,EPEZH,15,1
1617120_5269_00090,3236024,7V1D1,16,1
1617120_5269_00090,3236024,EPEZH,16,1
171190_4670_00225,40243236,FTV4XP,17,1
171190_4670_00225,40243236,7V1D1,17,1
171190_4670_00225,40243236,EPEZH,17,1
6390_5468_00012,3616322000,06IYG8X,18,1
6390_5468_00012,3616322000,EPEZH,18,1
251170_5870_00178,12281224,7V1D1,19,1
251170_5870_00178,12281224,EPEZH,19,1
1218190_4675_00338,36241602012,EPEZH,20,1
1223110_5867_00147,1683620,00N9,21,1
1223110_5867_00147,1683620,7V1D1,21,1
1223110_5867_00147,1683620,EPEZH,21,1
1223110_6065_00127,36202432416,FTV4XP,22,1
1223110_6065_00127,36202432416,7V1D1,22,1
1223110_6065_00127,36202432416,EPEZH,22,1
123130_4671_00209,28282836,RTS5,23,1
123130_4671_00209,28282836,8AEAE,23,1
123130_4671_00209,28282836,7V1D1,23,1
123130_4671_00209,28282836,EPEZH,23,1
123130_4672_00087,16121220,7V1D1,24,1
123130_4672_00087,16121220,EPEZH,24,1
36110_4469_00315,283600,7V1D1,25,1
36110_4469_00315,283600,EPEZH,25,1
36110_4469_00032,362024242812,7V1D1,26,1
36110_4469_00032,362024242812,EPEZH,26,1
122110_5867_00068,123604,7V1D1,27,1
122110_5867_00068,123604,EPEZH,27,1
01930_4671_00226,4416204,7V1D1,28,1
01930_4671_00226,4416204,EPEZH,28,1
72510_4869_00248,2832280,00N9,29,1
72510_4869_00248,2832280,7V1D1,29,1
72510_4869_00248,2832280,EPEZH,29,1
1223110_5867_00027,362424282012,06IYG8X,30,1
1223110_5867_00027,362424282012,EPEZH,30,1
1617120_5070_00140,28322024,7V1D1,31,1
1617120_5070_00140,28322024,EPEZH,31,1
186220_4868_00059,362812044,9SIS78,32,1
186220_4868_00059,362812044,7V1D1,32,1
